#################### HIPFILE BACKEND: FALLBACK ####################
RUN_DIRECTORY	/mnt/ais/ext4/johtyler/hipfile-io-stat-effects.AUEKRM/fallback
GPU_ID	0
DIO_MEMORY_ALIGNMENT	4
DIO_OFFSET_ALIGNMENT	512
NORMAL_IO_SIZE	4096
INITIAL_FILE_SIZE	1048576
NOTE	Exact transitions are compared for structural fields; timestamps and inode values are compared by changed/unchanged state.

=== read-zero-in-range (size=0, offset=0) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
CONTENT	POSIX=0x1f5e0df9bc822325	HIPFILE=0x1f5e0df9bc822325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:3 -> 259:3 (unchanged)	259:3 -> 259:3 (unchanged)	MATCH
fstat.st_ino	4063347 -> 4063347 (unchanged)	4063348 -> 4063348 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_gid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
fstat.st_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
fstat.st_size	1048576 -> 1048576 (unchanged)	1048576 -> 1048576 (unchanged)	MATCH
fstat.st_blksize	4096 -> 4096 (unchanged)	4096 -> 4096 (unchanged)	MATCH
fstat.st_blocks	2048 -> 2048 (unchanged)	2048 -> 2048 (unchanged)	MATCH
fstat.st_atim	946684800.000000000 -> 946684800.000000000 (unchanged)	946684800.000000000 -> 946684800.000000000 (unchanged)	MATCH
fstat.st_mtim	946684801.000000000 -> 946684801.000000000 (unchanged)	946684801.000000000 -> 946684801.000000000 (unchanged)	MATCH
fstat.st_ctim	1787157822.511451410 -> 1787157822.511451410 (unchanged)	1787157822.519451821 -> 1787157822.519451821 (unchanged)	MATCH
statx.stx_mask	0x3fff -> 0x3fff (unchanged)	0x3fff -> 0x3fff (unchanged)	MATCH
